Feature_Set,C,Class_Weight,Val_Accuracy,Val_F1_Macro,Val_F1_Weighted,Val_F1_Neutral,Test_Accuracy,Test_F1_Macro,Test_F1_Weighted,Test_F1_Neutral,Train_Seconds
PhoBERT + TF-IDF + SentiWordNet,0.1,,0.9450410612760581,0.8604162113171476,0.9440380243742467,0.6666666666666666,0.9276689829437776,0.8171090573127581,0.9263177141461324,0.5576923076923077,32.352420806884766
PhoBERT + SentiWordNet,0.1,,0.9450410612760581,0.8589809101840369,0.9441150825281664,0.6617647058823529,0.9279848389134555,0.8178169050204774,0.9265781934399192,0.5594855305466238,6.163163661956787
PhoBERT + TF-IDF,0.1,,0.9450410612760581,0.8576036942612091,0.9441972682064319,0.656934306569343,0.9279848389134555,0.8178065480628343,0.9265794983997943,0.5594855305466238,35.29701232910156
PhoBERT,0.1,,0.9444093493367025,0.8571597447982587,0.9435663768249627,0.656934306569343,0.9279848389134555,0.8178185448637598,0.9265785016861509,0.5594855305466238,4.8919517993927
PhoBERT,1.0,,0.9431459254579911,0.8551886445837052,0.9426725908757771,0.6524822695035462,0.9276689829437776,0.8207354262250403,0.9268347406519615,0.56875,5.928835153579712
PhoBERT + TF-IDF,1.0,,0.9431459254579911,0.8551886445837052,0.9426725908757771,0.6524822695035462,0.9276689829437776,0.8207354262250403,0.9268347406519615,0.56875,32.44595527648926
PhoBERT,0.01,,0.9456727732154138,0.8548887680512512,0.9447107583680987,0.6470588235294118,0.930511686670878,0.8253355369594032,0.9291710024038407,0.5787781350482315,5.505308389663696
PhoBERT + TF-IDF + SentiWordNet,1.0,,0.9431459254579911,0.8548785651502276,0.9423846325756574,0.6521739130434783,0.9267214150347441,0.8187423933791974,0.9255816310020981,0.5650793650793651,31.021273136138916
PhoBERT + TF-IDF + SentiWordNet,0.01,,0.9450410612760581,0.8544439628612954,0.9440786239402839,0.6470588235294118,0.9298799747315224,0.8245189805749359,0.9283636771291162,0.577922077922078,25.81607222557068
PhoBERT + SentiWordNet,1.0,,0.9425142135186355,0.8530989383168534,0.9418392573468849,0.6474820143884892,0.927037271004422,0.8203671977132049,0.9259695858088074,0.569620253164557,5.193892955780029
PhoBERT + TF-IDF,0.01,,0.9450410612760581,0.851348486478878,0.9439439660213755,0.6370370370370371,0.930511686670878,0.8258446845735996,0.9291201590764969,0.5806451612903226,23.759701013565063
PhoBERT + SentiWordNet,0.01,,0.9437776373973468,0.8508574450990388,0.9429899625158434,0.6376811594202898,0.9298799747315224,0.8245189805749359,0.9283636771291162,0.577922077922078,4.6323864459991455
