epoch,stage,train_loss,train_acc,train_f1_macro,train_f1_weighted,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_f1_neutral,val_selection_score,phobert_lr,trainable_params
1,frozen,1.0586379810646698,0.5561876422194993,0.40572869676124723,0.5584936106358916,1.0314975103946646,0.8073278584965256,0.5505846696672925,0.7885568281919694,0.0,0.5505846696672925,0.0,394755
2,partial,0.9143386445053807,0.7837388412392788,0.5359741359640546,0.7681758269357899,0.694960299013841,0.8957675300063171,0.6112835599263134,0.8752313180874237,0.0,0.6112835599263134,1e-05,28746243
3,partial,0.575613942591252,0.8758970768422896,0.7022328009088127,0.8776161033658222,0.5366270876480173,0.9134554643082754,0.7811614327770425,0.9130165882436803,0.4755244755244755,0.7811614327770425,1e-05,28746243
4,partial,0.4936829578183539,0.8891125503238229,0.7426653750574158,0.8957380734100936,0.5072957258765595,0.9153506001263424,0.7872657617361113,0.9167723607448988,0.48717948717948717,0.7872657617361113,1e-05,28746243
5,full,0.44079497684105917,0.9104673551549098,0.7853978555180513,0.9141682107536073,0.478034624566484,0.9210360075805433,0.8143282453740371,0.9244275167971745,0.56,0.8143282453740371,1e-05,135393027
6,full,0.41480399706055754,0.9316471206021355,0.8281927862168521,0.9327924942309415,0.630316074964628,0.9380922299431459,0.8388605201241143,0.9368583363747074,0.6119402985074627,0.8388605201241143,1e-05,135393027
7,full,0.34504572793229166,0.9486259408366883,0.8647721345240847,0.9491379302821581,0.6787546057862023,0.9444093493367025,0.8536683694837701,0.9431464267066844,0.6466165413533834,0.8536683694837701,1e-05,135393027
8,full,0.25469423256215307,0.9629791703133205,0.9082303720915629,0.9631488635696713,0.7027868768494256,0.9399873657612129,0.8502549439451371,0.9397176845392349,0.6433566433566433,0.8502549439451371,1e-05,135393027
9,full,0.2264351356859234,0.9727813758095571,0.9290787226471525,0.9728062122388598,0.9625564347558674,0.9374605180037903,0.8329645543586296,0.9350294009155621,0.5967741935483871,0.8329645543586296,1e-05,135393027
10,full,0.16689370316420715,0.9778575179415369,0.9472068590968714,0.9778163602216201,0.9231949166090209,0.9393556538218573,0.8409676388817448,0.9379626595276985,0.6165413533834586,0.8409676388817448,1e-05,135393027
11,full,0.12682459417773717,0.9835462979170313,0.9608053698433666,0.9835332589875653,0.835664459907231,0.9418825015792799,0.8481353460913185,0.9411876022911146,0.6330935251798561,0.8481353460913185,1e-05,135393027
